名称,営業日,住所,アクセス
均タロー 渋谷店,月～金、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂２－６－１５　ユニ道玄坂４F,東京メトロ，東急渋谷駅Ａ０出口より徒歩約1分/渋谷駅井の頭線西口より徒歩約2分/ＪＲ渋谷駅ハチ公口より徒歩約3分
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,月～日: 12:00～23:00,東京都渋谷区渋谷１-25-6　パークサイド共同ビル5F ,超駅近！JR私鉄メトロ各線渋谷駅徒歩30秒/本格A5ランク黒毛和牛焼肉が食べ放題★/貸切最大100名様OK！
PonPon ポンポン 渋谷,月～日、祝日、祝前日: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）,東京都渋谷区円山町2‐6　Ｊプラザマルヤマビル5階,渋谷駅より徒歩5分！ボイジャースタンド横の奥からエレベーターで5階に当店がございます！
焼き鳥&野菜巻き食べ放題 個室居酒屋 鳥一王 渋谷駅前店,月～日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－5－9　レンガビル　3F,渋谷駅徒歩1分（焼き鳥&野菜巻き食べ放題の個室居酒屋）
居酒屋 魚ふじ 渋谷店,月～金: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 14:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-25-17小島ビル2F,渋谷駅 徒歩1分！
居酒屋 輝 渋谷駅前店,月～金、祝前日: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 13:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-25-6 渋谷パークサイト共同ビル３階,渋谷駅ハチ公口より徒歩30秒/渋谷駅のガード真下のビル3階
とんちゃん 渋谷駅前店,月～金: 17:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土、日: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,東京都渋谷区道玄坂２－６－２　藤山恒産道玄坂ビル２Ｆ・３Ｆ,渋谷駅 各線徒歩１分/渋谷駅から201m
焼き鳥&野菜巻き食べ放題 一番鳥 渋谷駅前店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-5-5 藤木ビル3階,渋谷駅徒歩1分（焼き鳥&野菜巻き食べ放題の個室居酒屋）
鍋吉 渋谷本店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-28-3 渋谷ダイヤモンドビル1階,渋谷駅A0出口より徒歩1分 渋谷ダイヤモンドビル1階団体貸し切り承り中！！
ヒロキヤ渋谷,月～日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区宇田川町34-6 M＆Iビル 1F,A2出口徒歩4分/JR渋谷駅から徒歩８分//神泉駅から499m
かこ囲 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1F,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
串匠 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
ピザ&ワイン UeCONA ウエコナ 渋谷道玄坂離れ,月～木: 17:00～翌2:00 （料理L.O. 翌0:30 ドリンクL.O. 翌1:30）金、土、祝前日: 17:00～翌5:00 （料理L.O. 翌2:30 ドリンクL.O. 翌4:00）日: 17:00～翌2:00 （料理L.O. 翌0:30 ドリンクL.O. 翌1:00）祝日: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）,東京都渋谷区道玄坂１丁目１７－９ヴェラハイツ道玄坂B１F,JR渋谷駅 徒歩5分京王井の頭線 渋谷駅 徒歩3分
DeBarge デバージ 渋谷駅,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－３－６　香山ビル７Ｆ,【渋谷駅徒歩1分】JR渋谷駅西口（モヤイ像側）から徒歩1分渋谷駅から174m
nurikabe cafe SSS エスリー 渋谷,月～日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３‐10‐14　長崎堂　B1,JR「渋谷駅」新南口より徒歩3分/東京メトロ半蔵門線・副都心線・東急東横線・田園都市線渋谷駅C1・C2出口より徒歩2分
SHIBUYA ROOFTOP TERRACE BBQ シブヤルーフトップテラスバーベキュー,月～金: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区神南１-20-5 VORT 渋谷 briller 屋上,渋谷駅4分！準備不要！手ぶらで楽しめる開放感抜群のルーフトップテラスでBBQをしてみませんか？
個室完備 大山地鶏の炭火焼き鳥 小江戸鳥や 渋谷店,月～日、祝日、祝前日: 11:00～翌8:00 （料理L.O. 翌7:00 ドリンクL.O. 翌7:00）,東京都渋谷区道玄坂２-7-4 CENT渋谷ビル,渋谷駅 徒歩1分！完全個室で大山鶏の串焼き・鶏刺しを堪能｜飲み放題有り・クーポン有り
リコピンモンスーン 渋谷店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区渋谷３－１８－５ー３Ｆ,■ 渋谷駅徒歩5分※貸切など…無料下見だけも大歓迎♪路地裏に存在する隠れ家スポット★
楽蔵 うたげ 渋谷駅前店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-24-12 渋谷東映プラザビル6Ｆ,JR 渋谷駅東口徒歩1分／地下鉄渋谷駅10番出口徒歩1分／銀座線・半蔵門線・副都心線渋谷駅宮益坂口出口 徒歩1分
居酒屋 土間土間 渋谷店,月～金: 17:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）土、日、祝日: 15:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）,東京都渋谷区渋谷１－１２－１　カレイド渋谷宮益坂６Ｆ,地下鉄渋谷駅13a出口1分／JR渋谷駅・東横線渋谷駅・井の頭線渋谷駅東口3分 副都心線徒歩3分宮益坂・居酒屋
せかんどby彩 渋谷,月～木、日: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,東京都渋谷区宇田川町30-5 Jowビル 4F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約4分
鳥道酒場 渋谷センター街2号店,月～日、祝日、祝前日: 05:00～翌5:00,東京都渋谷区宇田川町22-4　渋谷センター街ビル 1F～4F,渋谷駅徒歩1分　【各路線からアクセス良好 × 集合&待ち合わせも容易】
海鮮居酒屋 はなの舞 渋谷並木橋店,月～木: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）金: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）土、日、祝日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-13-5イプセ渋谷2F,JR山手線渋谷駅東口徒歩5分
南国亭 渋谷一号店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区東１-26-20 東京建物B1,渋谷駅新南口から徒歩8分
J仔酒場 ジェイジェイナイトマーケット 渋谷センター街,月～金、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区宇田川町‐26‐11　白馬ビルB1F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約1分
イタメシ食堂 アペロ 渋谷道玄坂店,月～金: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 11:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２丁目１１ １JMFビル渋谷03 1階,東京メトロ，東急渋谷駅Ａ０出口より徒歩約5分/京王井の頭線神泉駅南口より徒歩約5分/ＪＲ渋谷駅ハチ公口より徒歩約9分 
ビアポンバー GROVE グローブ 渋谷明治通り店,月～日: 19:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-14-15 森ビル6階,渋谷駅 各線より徒歩2分
BAR 柔 yawara,月～土: 18:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）日: 15:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区円山町1-3　ＳＫビル３階,京王井の頭線『神泉駅』南口より徒歩約6分/各線『渋谷駅』出口より徒歩約10分
TEPPAN KITCHEN テッパンキッチン 渋谷ストリーム店,月～金、祝前日: 11:00～15:00 （料理L.O. 14:30）17:00～23:00 （料理L.O. 22:30）土、日、祝日: 11:30～23:00 （料理L.O. 22:30）,東京都渋谷区渋谷３－２１－３　ストリーム３階,東京メトロ、東急渋谷駅エレベーター３２出口より徒歩約1分渋谷駅新南口からも好アクセス◎
